Image     Accelerator      Sampler      Configuration     Time        OS      Lot     Machine
buddha-fractal-bvh-halton.pbrt  bvh  halton bvh-halton  165.769193950  UbuntuNative  3  MaquinaChen
buddha-fractal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  166.0  BSD  1  MaquinaChen
spotfog-bvh-sobol.pbrt  bvh  sobol bvh-sobol  259.0  BSD  1  MaquinaChen
spotfog-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  340.0  BSD  1  MaquinaChen
bidir-bvh-sobol.pbrt  bvh  sobol bvh-sobol  934.0  BSD  1  MaquinaChen
buddha-fractal-bvh-halton.pbrt  bvh  halton bvh-halton  176.0  BSD  1  MaquinaChen
bidir-bvh-halton.pbrt  bvh  halton bvh-halton  929.0  BSD  1  MaquinaChen
spotfog-kdtree-halton.pbrt  kdtree  halton kdtree-halton  332.0  BSD  1  MaquinaChen
bidir-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  1279.0  BSD  1  MaquinaChen
buddha-fractal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  238.0  BSD  1  MaquinaChen
teapot-metal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  375.0  BSD  1  MaquinaChen
teapot-metal-bvh-halton.pbrt  bvh  halton bvh-halton  402.0  BSD  1  MaquinaChen
spotfog-bvh-halton.pbrt  bvh  halton bvh-halton  249.0  BSD  1  MaquinaChen
bidir-kdtree-halton.pbrt  kdtree  halton kdtree-halton  1274.0  BSD  1  MaquinaChen
teapot-metal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  396.0  BSD  1  MaquinaChen
teapot-metal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  375.0  BSD  1  MaquinaChen
buddha-fractal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  233.0  BSD  1  MaquinaChen
teapot-metal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  342.0  BSD  2  MaquinaChen
bidir-bvh-sobol.pbrt  bvh  sobol bvh-sobol  939.0  BSD  2  MaquinaChen
spotfog-bvh-halton.pbrt  bvh  halton bvh-halton  248.0  BSD  2  MaquinaChen
teapot-metal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  365.0  BSD  2  MaquinaChen
bidir-kdtree-halton.pbrt  kdtree  halton kdtree-halton  1284.0  BSD  2  MaquinaChen
spotfog-kdtree-halton.pbrt  kdtree  halton kdtree-halton  332.0  BSD  2  MaquinaChen
buddha-fractal-bvh-halton.pbrt  bvh  halton bvh-halton  162.0  BSD  2  MaquinaChen
teapot-metal-bvh-halton.pbrt  bvh  halton bvh-halton  364.0  BSD  2  MaquinaChen
buddha-fractal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  232.0  BSD  2  MaquinaChen
buddha-fractal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  169.0  BSD  2  MaquinaChen
spotfog-bvh-sobol.pbrt  bvh  sobol bvh-sobol  259.0  BSD  2  MaquinaChen
teapot-metal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  345.0  BSD  2  MaquinaChen
bidir-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  1284.0  BSD  2  MaquinaChen
bidir-bvh-halton.pbrt  bvh  halton bvh-halton  923.0  BSD  2  MaquinaChen
buddha-fractal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  222.0  BSD  2  MaquinaChen
spotfog-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  338.0  BSD  2  MaquinaChen
